date,plant,production_line,shift,vehicle_model,planned_production,actual_production,scrap_units,rework_units,downtime_minutes
2024-04-12,Plant-B,Line-3,Shift-B,SUV-A,612,415,1,18,63
2024-12-14,Plant-A,Line-2,Shift-A,SUV-B,959,380,12,29,84
2024-09-27,Plant-A,Line-1,Shift-A,SUV-B,957,644,10,22,59
2024-04-16,Plant-A,Line-3,Shift-B,Offroad-A,957,1126,11,31,105
2024-03-12,Plant-C,Line-2,Shift-C,Offroad-A,447,1158,32,28,116
2024-07-07,Plant-A,Line-3,Shift-C,SUV-B,586,668,21,7,7
2024-01-21,Plant-C,Line-2,Shift-B,SUV-B,901,363,8,20,94
2024-04-12,Plant-B,Line-2,Shift-C,Utility-A,1031,919,43,16,73
2024-05-01,Plant-B,Line-1,Shift-C,Utility-A,1043,591,6,16,84
2024-08-02,Plant-D,Line-1,Shift-C,SUV-A,930,702,16,20,16
2024-11-26,Plant-A,Line-2,Shift-B,SUV-B,1186,597,9,14,4
2024-03-28,Plant-B,Line-3,Shift-A,SUV-A,874,959,37,26,12
2024-04-09,Plant-A,Line-3,Shift-A,SUV-B,1143,817,38,24,20
2024-12-25,Plant-C,Line-1,Shift-A,SUV-A,441,737,45,32,116
2024-05-31,Plant-B,Line-2,Shift-A,Utility-A,1003,1023,24,1,114
2024-05-10,Plant-A,Line-1,Shift-A,SUV-B,660,1108,26,15,43
2024-05-29,Plant-B,Line-2,Shift-C,SUV-B,447,1187,29,35,75
2024-11-04,Plant-B,Line-2,Shift-C,SUV-A,1193,791,29,7,88
2024-09-14,Plant-A,Line-1,Shift-C,SUV-A,985,691,42,15,52
2024-12-09,Plant-B,Line-3,Shift-B,Offroad-A,1127,865,33,6,27
2024-10-20,Plant-B,Line-1,Shift-C,Offroad-A,845,1167,32,4,65
2024-07-10,Plant-B,Line-2,Shift-A,Utility-A,620,1122,31,22,20
2024-10-03,Plant-B,Line-1,Shift-C,SUV-B,1020,1192,41,7,104
2024-06-09,Plant-C,Line-3,Shift-A,SUV-B,1046,394,11,2,119
2024-11-09,Plant-B,Line-3,Shift-C,SUV-A,742,768,40,34,85
2024-01-22,Plant-D,Line-2,Shift-A,Utility-A,637,1072,22,35,56
2024-09-09,Plant-B,Line-1,Shift-C,SUV-B,554,1105,28,35,54
2024-08-23,Plant-A,Line-3,Shift-A,Utility-A,455,552,42,14,1
2024-12-10,Plant-D,Line-1,Shift-A,Offroad-A,786,1064,0,29,93
2024-02-18,Plant-C,Line-3,Shift-B,SUV-A,1109,888,19,14,64
2024-02-28,Plant-D,Line-2,Shift-C,SUV-B,714,735,9,28,109
2024-06-18,Plant-D,Line-2,Shift-A,SUV-A,437,979,18,3,76
2024-07-06,Plant-D,Line-1,Shift-C,Offroad-A,740,1087,22,33,2
2024-09-27,Plant-A,Line-2,Shift-A,Utility-A,1128,709,20,22,58
2024-07-08,Plant-A,Line-3,Shift-B,Utility-A,630,817,42,34,83
2024-06-23,Plant-A,Line-2,Shift-B,Offroad-A,851,554,34,27,62
2024-02-20,Plant-C,Line-3,Shift-B,Offroad-A,741,596,47,30,4
2024-12-29,Plant-A,Line-3,Shift-B,SUV-B,852,398,31,32,65
2024-02-24,Plant-A,Line-2,Shift-A,SUV-B,656,715,9,17,89
2024-08-31,Plant-D,Line-3,Shift-C,SUV-B,833,602,1,4,116
2024-11-15,Plant-A,Line-3,Shift-B,SUV-B,608,427,35,8,92
