claim_date,vehicle_model,plant,supplier,part_name,failure_mode,claim_count,repair_cost,vehicle_age_months,region
2024-11-20,SUV-A,Plant-D,Supplier-Alpha,Rear Bumper,Material Failure,4,16987,22,North
2024-01-14,SUV-A,Plant-B,Supplier-Beta,Dashboard Panel,Fitment Issue,4,21389,35,East
2024-08-09,Offroad-A,Plant-B,Supplier-Beta,Front Bumper,Material Failure,5,13620,9,North
2024-10-05,SUV-A,Plant-B,Supplier-Delta,Fender Cladding,Noise,1,10918,16,South
2024-04-17,SUV-B,Plant-C,Supplier-Delta,Front Bumper,Fitment Issue,3,17354,19,North
2024-04-27,Utility-A,Plant-C,Supplier-Alpha,Door Trim,Surface Damage,3,19100,3,North
2024-04-28,Offroad-A,Plant-C,Supplier-Gamma,Front Bumper,Fitment Issue,3,15890,30,West
2024-08-25,Utility-A,Plant-B,Supplier-Gamma,Rear Bumper,Fitment Issue,3,3629,24,West
2024-12-19,Utility-A,Plant-A,Supplier-Gamma,Door Trim,Fitment Issue,4,13816,1,North
2024-09-10,Utility-A,Plant-C,Supplier-Beta,Front Bumper,Crack,7,8850,10,North
2024-02-14,SUV-A,Plant-D,Supplier-Gamma,Rear Bumper,Noise,1,20232,31,West
2024-05-05,SUV-B,Plant-D,Supplier-Delta,Dashboard Panel,Surface Damage,6,3338,22,East
2024-05-14,Offroad-A,Plant-D,Supplier-Gamma,Front Bumper,Noise,6,8045,23,West
2024-11-08,Offroad-A,Plant-A,Supplier-Gamma,Rear Bumper,Crack,5,10380,22,North
2024-03-04,Offroad-A,Plant-C,Supplier-Gamma,Front Bumper,Surface Damage,7,23339,1,North
2024-09-14,Utility-A,Plant-A,Supplier-Gamma,Door Trim,Crack,4,19652,5,South
2024-01-06,SUV-B,Plant-C,Supplier-Gamma,Door Trim,Surface Damage,3,19072,26,West
2024-12-29,Offroad-A,Plant-D,Supplier-Alpha,Wheel Arch Cladding,Surface Damage,6,18248,17,East
2024-11-12,SUV-B,Plant-D,Supplier-Delta,Rear Bumper,Material Failure,7,21294,34,South
2024-01-17,SUV-A,Plant-A,Supplier-Gamma,Front Bumper,Crack,6,10336,31,North
2024-10-08,Offroad-A,Plant-C,Supplier-Beta,Dashboard Panel,Noise,1,17929,34,North
2024-11-27,SUV-A,Plant-D,Supplier-Alpha,Front Bumper,Crack,1,17048,14,South
2024-02-10,Offroad-A,Plant-C,Supplier-Beta,Front Bumper,Crack,2,2531,12,South
2024-12-20,Utility-A,Plant-C,Supplier-Delta,Fender Cladding,Crack,4,11548,15,West
